Symbol,ad
SAFKR,Safkar Ege Soğutmacılık Klima Soğuk Hava Tesisleri
SAHOL,Hacı Ömer Sabancı Holding A.Ş.
SAMAT,Saray Matbaacılık Kağıtçılık Kırtasiyecilik Ticare
SANEL,San-El Mühendislik Elektrik Taahhüt Sanayi ve Tica
SANFM,Sanifoam Sünger Sanayi ve Ticaret Anonim Şirketi
SANKO,Sanko Pazarlama İthalat İhracat Anonim Şirketi
SARKY,Sarkuysan Elektrolitik Bakır Sanayi Ve Ticaret A.Ş
SASA,Sasa Polyester Sanayi A.Ş.
SAYAS,Say Reklamcılık Yapı Dekorasyon Proje Taahhüt Sana
SDTTR,UZAY VE SAVUNMA
SEGYO,ŞEKER GYO
SEKFK,Şeker Finansal Kiralama A.Ş.
SEKUR,Sekuro Plastik Ambalaj Sanayi A.Ş.
SELEC,Selçuk Ecza Deposu Ticaret ve Sanayi A.Ş.
SELGD,Selçuk Gıda Endüstri İhracat İthalat A.Ş.
SELVA,SELVA GIDA
SERVE,Serve Kırtasiye Sanayi Ve Ticaret A.Ş.
SEYKM,Seyitler Kimya Sanayi Anonim Şirketi
SILVR,Silverline Endüstri ve Ticaret A.Ş.
SISE,T.Şişe Ve Cam Fabrikaları A.Ş.
SKBNK,Şekerbank T.A.Ş.
SKTAS,Söktaş Tekstil Sanayi ve Ticaret A.Ş.
SMART,SMARTIKS YAZILIM
SMRTG,SMART ENERJİ
SNGYO,Sinpaş Gayrimenkul Yatırım Ortaklığı A.Ş.
SNICA,SANİCA ISI SAN A.Ş.
SNKRN,Senkron Güvenlik ve İletişim Sistemleri Anonim Şir
SNPAM,Sönmez Pamuklu Sanayii A.Ş.
SODSN,Sodaş Sodyum Sanayii A.Ş.
SOKE,SÖKE DEĞİRMENCİLİK
SOKM,ŞOK MARKETLERİ
SONME,Sönmez Filament Sentetik İplik Ve Elyaf Sanayi A.Ş
SRVGY,Servet Gayrimenkul Yatırım Ortaklığı A.Ş.
SUMAS,Sumaş Suni Tahta ve Mobilya Sanayi A.Ş.
SUNTK,SUN TEKSTİL
SUWEN,SUWEN TEKSTİL
TACTR,Taç Tarım Ürünleri Hayvancılık Gıda Sanayi ve Tica
TATGD,Tat Gıda Sanayi A.Ş.
TAVHL,TAV Havalimanları Holding A.Ş.
TBORG,T.Tuborg Bira Ve Malt Sanayii A.Ş.
TCELL,Turkcell İletişim Hizmetleri A.Ş.
TDGYO,TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
TEKTU,Tek-Art İnşaat Ticaret Turizm Sanayi ve Yatırımlar
TERA,TERA YATIRIM
TETMT,TETAMAT GIDA YATIRIMLARI
TEZOL,EUROPAP TEZOL KAĞIT
TGSAS,TGS Dış Ticaret A.Ş.
THYAO,Türk Hava Yolları A.O.
TIRE,Mondi Tire Kutsan Kağıt Ve Ambalaj Sanayi A.Ş.
TKFEN,Tekfen Holding A.Ş.
TKNSA,Teknosa İç ve Dış Ticaret A.Ş.
TLMAN,Trabzon Liman İşletmeciliği A.Ş.
TMPOL,Temapol Polimer Plastik ve İnşaat Sanayi Ticaret A
TMSN,Tümosan Motor ve Traktör Sanayi A.Ş.
TOASO,Tofaş Türk Otomobil Fabrikası A.Ş.
TRCAS,Turcas Petrol A.Ş.
TRGYO,Torunlar Gayrimenkul Yatırım Ortaklığı A.Ş.
TRILC,TÜRK İLAÇ VE SERUM SANAYİ A.Ş.
TSGYO,TSKB Gayrimenkul Yatırım Ortaklığı A.Ş.
TSKB,Türkiye Sınai Kalkınma Bankası A.Ş.
TSPOR,Trabzonspor Sportif Yatırım ve Futbol İşletmeciliğ
TTKOM,Türk Telekomünikasyon A.Ş.
TTRAK,Türk Traktör ve Ziraat Makineleri A.Ş.
TUCLK,Tuğçelik Alüminyum ve Metal Mamülleri San. ve Tic.
TUKAS,Tukaş Gıda Sanayi ve Ticaret A.Ş.
TUPRS,"Tüpraş, Türkiye Petrol Rafinerileri A.Ş."
TUREX,TUREX TURİZM
TUREXHE,TUREX TURİZM
TURGG,Türker Proje Gayrimenkul ve Yatırım Geliştirme A.Ş
TURSG,TÜRKİYE SİGORTA A.Ş.
UFUK,Ufuk Yatırım Yönetim Ve Gayrimenkul A.Ş.
ULAS,Ulaşlar Turizm Yatırımları ve Dayanıklı Tüketim Ma
ULKER,Ülker Bisküvi Sanayi A.Ş.
ULUFA,ULUSAL FAKTORİNG
ULUSE,Ulusoy Elektrik İmalat Taahhüt Ticaret A.Ş.
ULUUN,Ulusoy Un Sanayi ve Ticaret Anonim Şirketi
UMPAS,Umpaş Holding A.Ş.
UNLU,ÜNLÜ YATIRIM
USAK,Uşak Seramik Sanayii A.Ş.
USDTR,A.B.D Hazine Bonosu Dolar B Tipi BYF
USDTRF,Dolar B Tipi BYF
UZERB,Uzertaş Boya Sanayi Ticaret ve Yatırım A.Ş.
VAKBN,Türkiye Vakıflar Bankası T.A.O.
VAKFN,Vakıf Finansal Kiralama A.Ş.
